ARX	FOXL2	KLHDC8A	NRK	SIGLEC11	WFIKKN2
50.9801597595215	32.958927154541	115.103164672852	20.2749309539795	26.4979610443115	226.084579467773
35.9011039733887	22.4798202514648	92.4664764404297	14.8941097259521	9.4522476196289	22.139310836792
52.0568923950195	38.6614303588867	224.078353881836	38.8320426940918	45.3146362304688	129.504989624023
38.3783264160156	44.6981773376465	111.362243652344	5.38442182540894	31.0805053710938	182.653259277344
55.8512229919434	49.4431381225586	322.344207763672	17.3787784576416	84.493148803711	34.1520957946777
23.759313583374	24.8282451629639	131.394058227539	8.20590496063232	23.5193042755127	91.5548400878906
65.8695297241211	44.4318389892578	278.403167724609	5.72572755813599	57.036750793457	42.5460166931152
72.5265579223633	72.8008041381836	203.3349609375	9.90039539337158	34.6057968139648	254.115005493164
62.0541114807129	36.9693794250488	134.435943603516	33.1413803100586	22.6286849975586	227.423477172852
87.5897521972656	60.7241744995117	316.193664550781	23.5609703063965	56.9109840393066	56.370735168457
75.5523910522461	40.9190406799316	401.571624755859	18.2545890808105	55.332405090332	14.7503528594971
73.6186752319336	47.9482841491699	169.000640869141	23.9049148559570	23.5339031219482	76.0026931762695
54.2745590209961	44.227108001709	233.278884887695	32.873176574707	40.7766418457031	254.803253173828
68.926742553711	46.6943817138672	179.684539794922	7.14593505859375	20.9539985656738	182.403411865234
51.7520027160645	47.0671844482422	298.360778808594	19.6272926330566	73.1210479736328	175.154296875
83.596694946289	54.5006675720215	208.856185913086	30.4986362457275	34.7775459289551	472.484344482422
37.6048698425293	34.7533111572266	82.948226928711	8.88076305389404	24.6439704895020	107.510055541992
83.6905364990234	50.2192039489746	260.927856445312	25.3879070281982	52.0228652954102	167.265884399414
67.276626586914	56.3733940124512	174.898910522461	13.7512483596802	24.5282402038574	196.044631958008
62.9553718566895	31.4120540618896	124.064964294434	5.6842303276062	40.5964279174805	98.895881652832
56.0486373901367	36.1588592529297	499.623260498047	16.5648746490479	68.1497802734375	21.5826263427734
64.0081176757812	30.8048725128174	160.177490234375	23.0889511108398	25.6801567077637	133.258605957031
31.4903659820557	12.3324632644653	73.2216033935547	8.51364707946777	9.30122470855713	87.3183059692383
69.9426956176758	51.9950790405273	195.374832153320	21.5081691741943	40.8594703674316	53.7701568603516
50.9179649353027	45.0791282653809	116.198310852051	8.27141094207764	23.6616344451904	211.537551879883
35.8712387084961	33.5461845397949	153.319885253906	7.3099684715271	35.1149673461914	226.219955444336
51.5101547241211	42.5473251342773	193.553909301758	8.0190143585205	48.1601295471191	64.9523391723633
78.3619384765625	33.144889831543	269.742126464844	54.8889503479004	44.4659080505371	178.35791015625
27.8025074005127	23.240966796875	135.661453247070	14.2215766906738	26.7079315185547	32.384334564209
55.4697189331055	55.564323425293	476.360290527344	26.8508167266846	94.730224609375	67.5695877075195
71.3524475097656	41.0844497680664	141.075469970703	9.97909355163574	26.8263092041016	62.6769218444824
54.5846519470215	52.0548934936523	175.358154296875	14.4438409805298	30.1187171936035	412.980072021484
38.7891426086426	34.0630187988281	101.890083312988	6.0851616859436	13.7222642898560	75.7608413696289
32.2367553710938	22.3371181488037	118.034408569336	6.92502784729004	38.6829071044922	25.1184387207031
66.579116821289	52.4100341796875	218.404174804688	28.2876777648926	22.2558727264404	90.7425994873047
